source,target,capacity
Node_18,Node_289,2.1093
Node_18,Node_297,0.3142
Node_18,Node_312,3.1689
Node_18,Node_366,4.9322
Node_18,Node_404,0.0608
Node_18,Node_436,0.5844
Node_18,Node_473,0.0211
Node_18,Node_544,0.6465
Node_18,Node_546,13.8793
Node_18,Node_548,0.3258
Node_18,Node_575,0.5376
Node_18,Node_605,2.8194
Node_18,Node_621,1.5692
Node_18,Node_671,11.753
Node_18,Node_702,1.2498
Node_18,Node_720,2.2261
Node_18,Node_722,0.2326
Node_18,Node_806,0.4639
Node_18,Node_825,1.1424
Node_18,Node_892,13.9151
Node_19,Node_26,0.3139
Node_19,Node_38,2.9282
Node_19,Node_44,1.1155
Node_19,Node_60,0.1896
Node_19,Node_64,0.4612
Node_19,Node_68,4.5786
Node_19,Node_80,6.0478
Node_19,Node_93,8.4168
Node_19,Node_96,7.1475
Node_19,Node_115,0.8304
Node_19,Node_123,1.0588
Node_19,Node_127,0.7745
Node_19,Node_152,6.9889
Node_19,Node_162,0.2242
Node_19,Node_169,0.933
Node_19,Node_170,13.9788
Node_19,Node_172,0.5349
Node_19,Node_215,2.1094
Node_19,Node_261,4.2966
Node_19,Node_332,1.9981
Node_19,Node_335,3.5441
Node_19,Node_357,0.8724
Node_19,Node_411,0.4082
Node_19,Node_415,3.2201
Node_19,Node_423,3.0876
Node_19,Node_443,3.3958
Node_19,Node_466,1.1408
Node_19,Node_482,5.0537
Node_19,Node_503,2.5444
Node_19,Node_520,1.6029
Node_19,Node_526,0.7586
Node_19,Node_535,0.415
Node_19,Node_576,6.7271
Node_19,Node_776,5.1414
Node_19,Node_821,8.0623
Node_19,Node_924,0.2983
Node_20,Node_28,3.1541
Node_20,Node_31,0.8202
Node_20,Node_43,2.9783
Node_20,Node_63,0.2351
Node_20,Node_67,5.317
Node_20,Node_70,1.6388
Node_20,Node_80,10.6489
Node_20,Node_89,10.8075
Node_20,Node_124,0.9976
Node_20,Node_155,1.9519
Node_20,Node_156,6.5377
Node_20,Node_218,2.8824
Node_20,Node_221,0.5255
Node_20,Node_253,0.3137
Node_20,Node_257,5.6483
Node_20,Node_264,0.9405
Node_20,Node_265,1.0345
Node_20,Node_271,8.2049
Node_20,Node_307,5.2651
Node_20,Node_319,5.7945
Node_20,Node_329,9.0211
Node_20,Node_349,1.4887
Node_20,Node_353,0.4477
Node_20,Node_358,2.5998
Node_20,Node_377,6.1614
Node_20,Node_449,3.541
Node_20,Node_496,7.6645
Node_20,Node_585,0.7827
Node_20,Node_721,4.5819
Node_20,Node_814,3.7685
Node_20,Node_971,14.3293
Node_21,Node_37,14.2281
Node_21,Node_47,2.915
Node_21,Node_53,0.7443
Node_21,Node_63,0.4979
Node_21,Node_75,1.011
Node_21,Node_80,1.4907
Node_21,Node_121,1.2955
Node_21,Node_133,1.3614
Node_21,Node_162,0.2746
Node_21,Node_181,0.5425
Node_21,Node_184,8.285
Node_21,Node_185,0.1058
Node_21,Node_207,0.5319
Node_21,Node_249,1.6414
Node_21,Node_345,3.6241
Node_21,Node_419,0.1327
Node_21,Node_460,7.9835
Node_21,Node_513,1.0374
Node_21,Node_573,3.7311
Node_21,Node_785,0.4728
Node_21,Node_798,4.0577
Node_21,Node_889,0.5125
Node_21,Node_909,0.04
Node_22,Node_23,4.2427
Node_22,Node_24,2.8935
Node_22,Node_27,3.1229
Node_22,Node_29,0.6124
Node_22,Node_34,0.2033
Node_22,Node_36,1.2384
Node_22,Node_37,4.3781
Node_22,Node_40,0.8154
Node_22,Node_42,0.208
Node_22,Node_43,0.034
Node_22,Node_58,2.5819
Node_22,Node_59,1.4305
Node_22,Node_79,1.8324
Node_22,Node_93,8.3718
Node_22,Node_96,1.4732
Node_22,Node_97,1.1791
Node_22,Node_101,6.9673
Node_22,Node_124,3.0661
Node_22,Node_135,1.2637
Node_22,Node_140,1.444
Node_22,Node_156,13.6954
Node_22,Node_161,1.2257
Node_22,Node_182,5.5357
Node_22,Node_184,1.5575
Node_22,Node_192,0.1935
Node_22,Node_204,0.9562
Node_22,Node_216,2.9897
Node_22,Node_225,2.7123
Node_22,Node_231,1.5046
Node_22,Node_275,1.8145
Node_22,Node_299,2.0349
Node_22,Node_305,4.519
Node_22,Node_315,1.2453
Node_22,Node_316,14.0728
Node_22,Node_322,0.1906
Node_22,Node_345,0.3612
Node_22,Node_381,1.6721
Node_22,Node_409,8.0831
Node_22,Node_411,2.2228
Node_22,Node_428,0.2646
Node_22,Node_453,5.1645
Node_22,Node_457,2.1237
Node_22,Node_487,6.3661
Node_22,Node_492,5.2922
Node_22,Node_503,4.8557
Node_22,Node_526,1.4492
Node_22,Node_543,9.8163
Node_22,Node_553,2.7109
Node_22,Node_612,4.3007
Node_22,Node_661,0.8206
Node_22,Node_692,0.9141
Node_22,Node_704,1.0394
Node_22,Node_735,0.3515
Node_22,Node_778,3.5545
Node_22,Node_866,1.1804
Node_22,Node_898,1.0651
Node_22,Node_994,5.1938
Node_23,Node_25,6.2496
Node_23,Node_45,1.7146
Node_23,Node_66,2.2968
Node_23,Node_85,1.0779
Node_23,Node_101,0.5698
Node_23,Node_117,1.2492
Node_23,Node_122,2.1673
Node_23,Node_154,5.5757
Node_23,Node_228,1.861
Node_23,Node_327,0.5632
Node_23,Node_402,2.1222
Node_23,Node_427,3.1609
Node_23,Node_496,0.7866
Node_23,Node_723,4.0513
Node_23,Node_860,0.8806
Node_23,Node_921,2.2994
Node_23,Node_953,0.1414
Node_24,Node_26,1.8931
Node_24,Node_31,0.3199
Node_24,Node_42,3.679
Node_24,Node_69,0.4918
Node_24,Node_76,0.01
Node_24,Node_94,0.4914
Node_24,Node_102,4.5346
Node_24,Node_120,3.0614
Node_24,Node_126,1.4943
Node_24,Node_128,4.82
Node_24,Node_131,0.0292
Node_24,Node_198,5.9843
Node_24,Node_213,4.4213
Node_24,Node_296,1.5903
Node_24,Node_318,4.1051
Node_24,Node_343,5.5242
Node_24,Node_359,0.3784
Node_24,Node_372,4.9156
Node_24,Node_387,0.0587
Node_24,Node_467,5.6418
Node_24,Node_498,1.4434
Node_24,Node_580,1.9875
Node_24,Node_590,0.1201
Node_24,Node_604,4.0446
Node_24,Node_631,0.3223
Node_24,Node_640,4.1205
Node_24,Node_684,4.4039
Node_24,Node_742,2.3592
Node_24,Node_765,1.2535
Node_24,Node_816,1.8628
Node_24,Node_820,9.4251
Node_24,Node_827,2.3415
Node_24,Node_835,4.9218
Node_24,Node_846,2.4679
Node_24,Node_858,0.8688
Node_24,Node_968,0.318
Node_24,Node_984,1.4516
Node_25,Node_26,4.5173
Node_25,Node_31,0.5043
Node_25,Node_37,0.3292
Node_25,Node_61,0.7708
Node_25,Node_99,0.9461
Node_25,Node_102,1.3394
Node_25,Node_105,1.8254
Node_25,Node_113,1.3856
Node_25,Node_118,0.3269
Node_25,Node_128,2.4285
Node_25,Node_129,2.4535
Node_25,Node_136,2.6419
Node_25,Node_140,7.3868
Node_25,Node_155,1.9872
Node_25,Node_174,1.3778
Node_25,Node_176,1.9264
Node_25,Node_191,0.3212
Node_25,Node_267,0.9904
Node_25,Node_277,1.9861
Node_25,Node_321,3.009
Node_25,Node_397,5.6984
Node_25,Node_449,1.4112
Node_25,Node_463,4.1821
Node_25,Node_466,1.2627
Node_25,Node_487,1.6229
Node_25,Node_489,1.4941
Node_25,Node_562,11.6375
Node_25,Node_607,6.3332
Node_25,Node_680,9.945
Node_25,Node_707,8.0564
Node_25,Node_716,6.3724
Node_25,Node_723,0.1204
Node_25,Node_750,3.249
Node_25,Node_752,0.6903
Node_25,Node_827,1.7316
Node_25,Node_870,1.1235
Node_25,Node_932,0.3677
Node_25,Node_938,0.7732
Node_25,Node_983,3.6946
Node_26,Node_30,0.4083
Node_26,Node_38,0.1825
Node_26,Node_51,2.7672
Node_26,Node_57,0.2788
Node_26,Node_58,6.2349
Node_26,Node_59,2.2204
Node_26,Node_66,4.8835
Node_26,Node_72,2.9086
Node_26,Node_83,0.01
Node_26,Node_84,0.7522
Node_26,Node_85,15.3048
Node_26,Node_107,2.5037
Node_26,Node_118,2.448
Node_26,Node_120,5.3205
Node_26,Node_138,6.9321
Node_26,Node_148,0.5218
Node_26,Node_178,3.9921
Node_26,Node_180,12.4934
Node_26,Node_236,1.6228
Node_26,Node_243,2.2879
Node_26,Node_292,1.0755
Node_26,Node_392,0.0166
Node_26,Node_412,2.8572
Node_26,Node_423,1.5521
Node_26,Node_442,3.9025
Node_26,Node_454,3.9533
Node_26,Node_517,1.3975
Node_26,Node_531,0.7272
Node_26,Node_549,1.1649
Node_26,Node_639,1.9292
Node_26,Node_699,2.5944
Node_26,Node_720,2.311
Node_26,Node_731,8.2816
Node_26,Node_793,2.4174
Node_26,Node_829,0.881
Node_26,Node_841,7.5365
Node_26,Node_867,5.6747
Node_26,Node_882,1.8934
Node_26,Node_883,6.3756
Node_26,Node_891,2.583
Node_26,Node_917,0.8615
Node_26,Node_996,1.7339
Node_27,Node_28,0.3889
Node_27,Node_29,0.0693
Node_27,Node_35,1.6356
Node_27,Node_49,2.9362
Node_27,Node_56,2.1704
Node_27,Node_72,3.6283
Node_27,Node_77,4.868
Node_27,Node_89,6.8444
Node_27,Node_99,5.4766
Node_27,Node_100,4.5492
Node_27,Node_116,1.0134
Node_27,Node_173,0.0106
Node_27,Node_176,1.1924
Node_27,Node_209,0.6989
Node_27,Node_246,8.3806
Node_27,Node_273,14.9627
Node_27,Node_306,1.4225
Node_27,Node_351,8.4122
Node_27,Node_361,0.8547
Node_27,Node_392,10.9704
Node_27,Node_501,0.0517
Node_27,Node_556,1.2406
Node_27,Node_606,3.6426
Node_27,Node_686,3.4952
Node_27,Node_700,10.5737
Node_27,Node_709,1.7393
Node_27,Node_754,6.8761
Node_27,Node_910,1.6911
Node_27,Node_911,1.5389
Node_28,Node_31,0.5097
Node_28,Node_41,0.1614
Node_28,Node_48,0.0947
Node_28,Node_55,1.7972
Node_28,Node_64,6.4496
Node_28,Node_74,1.7294
Node_28,Node_77,2.5191
Node_28,Node_88,0.1024
Node_28,Node_110,11.2161
Node_28,Node_121,0.7248
Node_28,Node_140,2.7475
Node_28,Node_147,1.1841
Node_28,Node_160,6.3763
Node_28,Node_175,3.7153
Node_28,Node_203,1.1312
Node_28,Node_239,1.2866
Node_28,Node_291,3.1016
Node_28,Node_305,1.4109
Node_28,Node_351,2.5636
Node_28,Node_367,1.8736
Node_28,Node_371,3.2073
Node_28,Node_460,5.519
Node_28,Node_501,5.4657
Node_28,Node_549,7.5001
Node_28,Node_582,15.0511
Node_28,Node_590,3.2895
Node_28,Node_594,7.1553
Node_28,Node_614,0.432
Node_28,Node_692,0.6099
Node_28,Node_696,1.5396
Node_28,Node_711,8.3529
Node_28,Node_770,3.1539
Node_28,Node_881,4.5378
Node_28,Node_896,0.326
Node_29,Node_32,1.688
Node_29,Node_47,2.3734
Node_29,Node_60,1.2492
Node_29,Node_126,0.8829
Node_29,Node_136,1.4248
Node_29,Node_144,6.1195
Node_29,Node_185,2.2564
Node_29,Node_217,0.4686
Node_29,Node_248,2.2967
Node_29,Node_274,8.7908
Node_29,Node_323,0.0609
Node_29,Node_348,0.0299
Node_29,Node_395,3.2953
Node_29,Node_409,3.6071
Node_29,Node_461,4.0364
Node_29,Node_636,13.7329
Node_29,Node_734,0.7495
Node_29,Node_845,1.6793
Node_29,Node_849,0.5052
Node_29,Node_854,1.7825
Node_29,Node_908,2.9961
Node_30,Node_39,3.5867
Node_30,Node_48,4.9913
Node_30,Node_53,0.3371
Node_30,Node_54,0.3539
Node_30,Node_67,1.3321
Node_30,Node_75,1.1387
Node_30,Node_81,5.7728
Node_30,Node_102,1.8423
Node_30,Node_117,7.5482
Node_30,Node_151,6.9766
Node_30,Node_158,0.616
Node_30,Node_188,0.3719
Node_30,Node_195,0.8329
Node_30,Node_220,3.4632
Node_30,Node_222,1.7481
Node_30,Node_234,3.038
Node_30,Node_242,3.0605
Node_30,Node_260,3.2503
Node_30,Node_277,0.3029
Node_30,Node_352,2.3309
Node_30,Node_364,1.485
Node_30,Node_421,2.2473
Node_30,Node_441,1.529
Node_30,Node_447,11.4712
Node_30,Node_450,2.6875
Node_30,Node_558,0.0566
Node_30,Node_578,3.8747
Node_30,Node_596,0.9765
Node_30,Node_618,9.6678
Node_30,Node_632,2.8466
Node_30,Node_640,2.8046
Node_30,Node_691,1.4983
Node_30,Node_730,3.8868
Node_30,Node_803,4.0396
Node_30,Node_819,1.5521
Node_30,Node_875,0.7752
Node_30,Node_879,13.3365
Node_30,Node_922,1.2949
Node_30,Node_952,2.4426
Node_30,Node_963,0.2103
Node_30,Node_970,0.428
Node_30,Node_974,1.1356
Node_31,Node_39,0.6523
Node_31,Node_50,1.2522
Node_31,Node_79,6.56
Node_31,Node_95,1.9001
Node_31,Node_115,3.6461
Node_31,Node_140,3.1725
Node_31,Node_158,3.0137
Node_31,Node_210,0.0573
Node_31,Node_294,0.8712
Node_31,Node_295,0.3142
Node_31,Node_308,0.9414
Node_31,Node_365,0.973
Node_31,Node_611,4.5448
Node_31,Node_621,2.9827
Node_31,Node_782,1.5691
Node_31,Node_819,2.1873
Node_31,Node_891,2.3309
Node_32,Node_78,1.2328
Node_32,Node_103,0.0348
Node_32,Node_124,1.4907
Node_32,Node_136,8.8825
Node_32,Node_152,1.2215
Node_32,Node_257,1.6996
Node_32,Node_267,0.6749
Node_32,Node_273,6.9272
Node_32,Node_301,2.8817
Node_32,Node_351,4.6754
Node_32,Node_376,1.2753
Node_32,Node_431,0.4438
Node_32,Node_478,1.0374
Node_32,Node_502,0.0173
Node_32,Node_503,3.0009
Node_32,Node_686,1.1451
Node_32,Node_743,3.8363
Node_32,Node_806,0.1203
Node_32,Node_907,5.2567
Node_33,Node_41,0.3678
Node_33,Node_60,3.2591
Node_33,Node_63,5.0722
Node_33,Node_85,0.2371
Node_33,Node_115,1.186
Node_33,Node_129,3.1076
Node_33,Node_134,5.5898
Node_33,Node_156,1.5379
Node_33,Node_157,3.0908
Node_33,Node_214,0.3078
Node_33,Node_360,3.9475
Node_33,Node_365,0.968
Node_33,Node_395,5.4479
Node_33,Node_447,2.6256
Node_33,Node_499,2.4062
Node_33,Node_534,4.046
Node_33,Node_600,4.7323
Node_33,Node_666,3.1282
Node_33,Node_731,0.085
Node_33,Node_771,1.3278
Node_33,Node_821,10.8129
Node_33,Node_876,1.0649
Node_33,Node_930,8.8122
Node_33,Node_969,3.5391
Node_34,Node_69,8.8645
Node_34,Node_70,1.2536
Node_34,Node_101,5.3313
Node_34,Node_126,5.1794
Node_34,Node_132,0.2175
Node_34,Node_183,3.6166
Node_34,Node_213,0.8291
Node_34,Node_215,0.0235
Node_34,Node_227,0.358
Node_34,Node_268,3.2709
Node_34,Node_274,1.0633
Node_34,Node_290,8.5823
Node_34,Node_313,0.171
Node_34,Node_314,0.8787
Node_34,Node_333,3.154
Node_34,Node_378,7.6652
Node_34,Node_422,1.9203
Node_34,Node_448,1.5664
Node_34,Node_517,14.2751
Node_34,Node_565,0.9844
Node_34,Node_585,0.1517
Node_34,Node_612,3.5231
Node_34,Node_633,2.1058
Node_34,Node_670,5.2842
Node_34,Node_826,0.1772
Node_34,Node_876,0.4083
Node_34,Node_902,1.8974
Node_34,Node_975,5.1851
Node_35,Node_36,0.5956
Node_35,Node_38,8.6174
Node_35,Node_62,3.7017
Node_35,Node_73,1.0205
Node_35,Node_107,1.27
Node_35,Node_165,2.6073
Node_35,Node_189,1.0771
Node_35,Node_272,6.2119
Node_35,Node_354,1.495
Node_35,Node_383,4.9689
Node_35,Node_504,4.2443
Node_35,Node_583,2.9738
Node_35,Node_752,1.6136
Node_35,Node_809,0.9295
Node_35,Node_811,2.0411
Node_35,Node_848,3.3188
Node_35,Node_857,5.7349
Node_35,Node_974,0.552
Node_36,Node_46,5.0563
Node_36,Node_106,1.5532
Node_36,Node_227,2.9322
Node_36,Node_278,1.3212
Node_36,Node_286,0.7946
Node_36,Node_287,0.3178
Node_36,Node_355,0.2718
Node_36,Node_429,10.9476
Node_36,Node_436,2.0479
Node_36,Node_502,7.409
Node_36,Node_527,1.0512
Node_36,Node_592,7.1365
Node_36,Node_598,0.6824
Node_36,Node_611,0.3277
Node_36,Node_669,3.1653
Node_36,Node_670,1.1678
Node_36,Node_708,0.1147
Node_36,Node_789,3.7139
Node_36,Node_867,2.5128
Node_36,Node_927,8.2047
Node_36,Node_934,1.433
Node_36,Node_944,5.5426
Node_37,Node_45,0.1017
Node_37,Node_76,1.6104
Node_37,Node_108,2.1112
Node_37,Node_172,2.3071
Node_37,Node_188,0.1198
Node_37,Node_191,4.7378
Node_37,Node_199,1.4791
Node_37,Node_207,0.3491
Node_37,Node_222,0.6417
Node_37,Node_266,2.0406
Node_37,Node_271,4.3317
Node_37,Node_314,5.1967
Node_37,Node_320,1.2276
Node_37,Node_322,0.8461
Node_37,Node_373,0.5433
Node_37,Node_397,2.3963
Node_37,Node_453,2.1515
Node_37,Node_500,2.3441
Node_37,Node_514,0.3196
Node_37,Node_517,4.5224
Node_37,Node_529,0.5827
Node_37,Node_626,5.1267
Node_37,Node_674,3.6013
Node_37,Node_676,1.6312
Node_37,Node_726,1.0747
Node_37,Node_823,3.7819
Node_38,Node_77,1.6644
Node_38,Node_86,8.429
Node_38,Node_118,0.3342
Node_38,Node_158,4.374
Node_38,Node_221,2.6633
Node_38,Node_289,0.3357
Node_38,Node_437,2.8423
Node_38,Node_526,0.746
Node_38,Node_805,0.9993
Node_38,Node_878,3.2408
Node_39,Node_43,3.4694
Node_39,Node_96,0.8447
Node_39,Node_137,2.5308
Node_39,Node_150,2.5188
Node_39,Node_186,1.4085
Node_39,Node_193,1.4602
Node_39,Node_221,0.5976
Node_39,Node_232,5.9998
Node_39,Node_315,0.1773
Node_39,Node_317,0.3729
Node_39,Node_401,7.8025
Node_39,Node_405,1.9876
Node_39,Node_562,1.5687
Node_39,Node_593,3.441
Node_39,Node_653,0.2783
Node_39,Node_704,13.5424
Node_39,Node_790,0.849
Node_39,Node_855,1.6756
Node_39,Node_984,0.091
Node_40,Node_56,7.8499
Node_40,Node_91,0.8184
Node_40,Node_105,2.8145
Node_40,Node_122,3.6589
Node_40,Node_127,1.1094
Node_40,Node_149,6.3241
Node_40,Node_153,0.5154
Node_40,Node_478,4.0597
Node_40,Node_527,0.0526
Node_40,Node_552,1.4361
Node_40,Node_604,2.1917
Node_40,Node_659,7.1375
Node_40,Node_676,0.6387
Node_40,Node_682,2.0178
Node_40,Node_700,3.2835
Node_40,Node_748,2.8437
Node_40,Node_771,1.1131
Node_40,Node_842,1.5485
Node_40,Node_878,2.0139
Node_40,Node_904,3.3343
Node_41,Node_92,5.9743
Node_41,Node_337,9.6025
Node_41,Node_355,4.5219
Node_41,Node_364,7.891
Node_41,Node_447,0.7438
Node_41,Node_476,1.4596
Node_41,Node_673,5.7328
Node_41,Node_695,5.012
Node_41,Node_813,10.6656
Node_41,Node_945,1.7383
Node_41,Node_977,5.8216
Node_42,Node_55,0.871
Node_42,Node_60,1.0749
Node_42,Node_63,1.8812
Node_42,Node_74,0.2291
Node_42,Node_88,6.0931
Node_42,Node_105,4.0899
Node_42,Node_136,2.0766
Node_42,Node_171,2.4787
Node_42,Node_182,6.5329
Node_42,Node_184,6.6061
Node_42,Node_210,0.0626
Node_42,Node_228,3.6437
Node_42,Node_235,2.0599
Node_42,Node_236,0.3317
Node_42,Node_240,4.4318
Node_42,Node_262,1.0317
Node_42,Node_264,7.7461
Node_42,Node_320,0.3375
Node_42,Node_321,0.01
Node_42,Node_328,10.3556
Node_42,Node_339,3.6011
Node_42,Node_343,0.01
Node_42,Node_368,5.5631
Node_42,Node_376,1.4247
Node_42,Node_379,3.2563
Node_42,Node_398,0.2715
Node_42,Node_412,14.4332
Node_42,Node_439,7.9249
Node_42,Node_460,2.0155
Node_42,Node_496,1.8018
Node_42,Node_519,2.1745
Node_42,Node_532,2.4026
Node_42,Node_545,3.3962
Node_42,Node_554,5.1605
Node_42,Node_575,5.5812
Node_42,Node_592,4.2535
Node_42,Node_597,3.5352
Node_42,Node_644,0.9464
Node_42,Node_669,1.9613
Node_42,Node_675,5.1574
Node_42,Node_716,3.0528
Node_42,Node_725,2.9529
Node_42,Node_773,7.0798
Node_42,Node_784,0.3337
Node_42,Node_793,0.3175
Node_42,Node_820,6.8713
Node_42,Node_853,4.4189
Node_42,Node_910,0.9671
Node_42,Node_919,3.5536
Node_42,Node_931,6.2642
Node_42,Node_932,1.4482
Node_42,Node_941,3.4652
Node_42,Node_953,1.5431
Node_42,Node_961,3.3798
Node_42,Node_974,0.4869
Node_43,Node_61,0.8705
Node_43,Node_66,0.1836
Node_43,Node_125,1.8202
Node_43,Node_129,5.8999
Node_43,Node_161,0.7692
Node_43,Node_179,0.2973
Node_43,Node_194,1.4283
Node_43,Node_258,3.9135
Node_43,Node_260,0.0348
Node_43,Node_963,0.3654
Node_44,Node_46,2.9163
Node_44,Node_47,0.1181
Node_44,Node_50,1.3231
Node_44,Node_51,8.4699
Node_44,Node_269,5.0155
Node_44,Node_284,0.9756
Node_44,Node_340,1.8772
Node_44,Node_366,5.8767
Node_44,Node_691,0.4371
Node_44,Node_713,3.3918
Node_44,Node_873,2.9233
Node_45,Node_50,0.8346
Node_45,Node_56,2.9364
Node_45,Node_61,3.577
Node_45,Node_64,1.0105
Node_45,Node_71,1.1006
Node_45,Node_139,0.6579
Node_45,Node_202,5.3402
Node_45,Node_241,2.2695
Node_45,Node_251,7.9643
Node_45,Node_281,1.6218
Node_45,Node_319,2.3695
Node_45,Node_481,7.2646
Node_45,Node_641,2.7024
Node_45,Node_746,4.4613
Node_45,Node_772,8.3664
Node_45,Node_890,2.795
Node_45,Node_919,1.9227
Node_46,Node_88,0.077
Node_46,Node_91,3.3403
Node_46,Node_173,0.1785
Node_46,Node_218,1.2336
Node_46,Node_234,4.3745
Node_46,Node_279,2.7311
Node_46,Node_306,0.7322
Node_46,Node_347,1.6355
Node_46,Node_546,0.8532
Node_46,Node_594,0.7595
Node_46,Node_798,7.0129
Node_46,Node_986,6.9432
Node_47,Node_57,0.5649
Node_47,Node_84,1.0766
Node_47,Node_86,2.8139
Node_47,Node_255,0.5062
Node_47,Node_275,1.0902
Node_47,Node_309,0.658
Node_47,Node_470,1.4641
Node_47,Node_476,4.7772
Node_47,Node_576,1.109
Node_47,Node_789,0.3602
Node_47,Node_806,5.9118
Node_47,Node_853,0.055
Node_48,Node_65,4.5427
Node_48,Node_72,0.1308
Node_48,Node_73,8.4355
Node_48,Node_107,0.1313
Node_48,Node_128,1.4871
Node_48,Node_131,0.6911
Node_48,Node_152,1.1501
Node_48,Node_153,17.6552
Node_48,Node_169,0.3485
Node_48,Node_183,1.0622
Node_48,Node_267,3.4734
Node_48,Node_269,7.1501
Node_48,Node_330,0.7693
Node_48,Node_333,1.3641
Node_48,Node_385,4.2962
Node_48,Node_451,0.4805
Node_48,Node_507,2.4554
Node_48,Node_584,7.3087
Node_48,Node_609,8.3954
Node_48,Node_627,3.0815
Node_48,Node_658,0.4828
Node_48,Node_682,0.2309
Node_48,Node_693,0.1676
Node_48,Node_758,0.1599
Node_48,Node_861,6.5201
Node_48,Node_869,3.8139
Node_48,Node_925,1.3115
Node_49,Node_52,2.61
Node_49,Node_54,1.5075
Node_49,Node_73,4.4695
Node_49,Node_90,11.4269
Node_49,Node_107,3.4302
Node_49,Node_114,1.149
Node_49,Node_121,3.5725
Node_49,Node_123,1.5513
Node_49,Node_131,5.1666
Node_49,Node_145,3.0174
Node_49,Node_157,0.144
Node_49,Node_166,0.4506
Node_49,Node_210,2.703
Node_49,Node_230,0.8739
Node_49,Node_244,3.2383
Node_49,Node_264,15.4761
Node_49,Node_286,0.6213
Node_49,Node_330,0.1812
Node_49,Node_377,8.8849
Node_49,Node_378,1.2003
Node_49,Node_385,10.1834
Node_49,Node_394,0.8187
Node_49,Node_466,3.948
Node_49,Node_467,12.0235
Node_49,Node_480,0.9112
Node_49,Node_533,1.6487
Node_49,Node_705,2.2158
Node_49,Node_725,3.1008
Node_49,Node_746,4.3257
Node_49,Node_788,1.4375
Node_49,Node_807,0.3322
Node_49,Node_832,0.1272
Node_49,Node_833,4.8161
Node_49,Node_840,2.8004
Node_49,Node_859,2.9496
Node_49,Node_942,2.8731
Node_49,Node_947,4.0712
Node_49,Node_986,1.5649
Node_49,Node_993,0.1527
Node_50,Node_92,5.0216
Node_50,Node_99,0.3157
Node_50,Node_116,1.1469
Node_50,Node_117,0.5067
Node_50,Node_134,4.9921
Node_50,Node_147,4.3671
Node_50,Node_149,4.9294
Node_50,Node_180,0.6628
Node_50,Node_217,0.6943
Node_50,Node_229,2.7419
Node_50,Node_235,1.413
Node_50,Node_242,5.9337
Node_50,Node_247,3.6615
Node_50,Node_277,1.0098
Node_50,Node_304,0.4653
Node_50,Node_353,1.6866
Node_50,Node_359,2.5663
Node_50,Node_375,5.2547
Node_50,Node_393,1.7116
Node_50,Node_416,1.16
Node_50,Node_468,5.4379
Node_50,Node_480,3.1989
Node_50,Node_505,0.0645
Node_50,Node_548,6.8016
Node_50,Node_577,3.372
Node_50,Node_610,1.1215
Node_50,Node_646,1.0082
Node_50,Node_672,10.0934
Node_50,Node_679,11.9631
Node_50,Node_892,2.7936
Node_50,Node_918,7.0936
Node_50,Node_952,4.3658
Node_50,Node_965,2.2608
Node_50,Node_984,2.585
Node_51,Node_57,0.4776
Node_51,Node_68,1.8866
Node_51,Node_85,2.2867
Node_51,Node_92,0.1819
Node_51,Node_98,1.0177
Node_51,Node_119,4.0452
Node_51,Node_153,1.579
Node_51,Node_180,2.7543
Node_51,Node_202,4.574
Node_51,Node_237,1.9235
Node_51,Node_444,3.086
Node_51,Node_472,3.652
Node_51,Node_485,0.872
Node_51,Node_641,0.8414
Node_51,Node_687,0.3278
Node_51,Node_759,1.5955
Node_51,Node_762,0.2784
Node_51,Node_797,2.2379
Node_52,Node_74,7.1462
Node_52,Node_94,3.3158
Node_52,Node_126,1.0143
Node_52,Node_152,0.5334
Node_52,Node_153,2.8381
Node_52,Node_214,0.8391
Node_52,Node_226,0.21
Node_52,Node_328,0.6869
Node_52,Node_338,5.2386
Node_52,Node_371,2.2455
Node_52,Node_425,4.2825
Node_52,Node_498,1.1871
Node_52,Node_545,5.0311
Node_52,Node_554,1.2298
Node_52,Node_645,6.9209
Node_52,Node_734,0.3975
Node_52,Node_804,0.901
Node_52,Node_831,8.6254
Node_52,Node_845,5.4944
Node_52,Node_885,8.4762
Node_52,Node_937,0.4831
Node_52,Node_992,0.3538
Node_53,Node_60,0.0239
Node_53,Node_61,1.4016
Node_53,Node_141,9.1989
Node_53,Node_161,0.1219
Node_53,Node_220,2.1802
Node_53,Node_229,2.5638
Node_53,Node_259,6.9767
Node_53,Node_273,2.8821
Node_53,Node_356,0.9818
Node_53,Node_360,3.3912
Node_53,Node_407,0.1632
Node_53,Node_525,1.2155
Node_53,Node_594,1.9738
Node_53,Node_759,2.2374
Node_53,Node_761,0.9586
Node_53,Node_906,0.0382
Node_53,Node_994,0.1842
Node_54,Node_67,1.4533
Node_54,Node_95,1.1385
Node_54,Node_106,1.4119
Node_54,Node_139,10.6794
Node_54,Node_191,1.8077
Node_54,Node_193,20.5689
Node_54,Node_256,5.7178
Node_54,Node_262,0.2746
Node_54,Node_278,4.7875
Node_54,Node_384,8.9697
Node_54,Node_387,1.8774
Node_54,Node_411,3.5189
Node_54,Node_505,4.7182
Node_54,Node_528,3.2911
Node_54,Node_540,2.3635
Node_54,Node_571,0.9332
Node_54,Node_599,3.9048
Node_54,Node_628,0.6905
Node_54,Node_662,1.3042
Node_54,Node_665,2.1168
Node_54,Node_884,4.9401
Node_54,Node_901,5.6691
